TRADE HISTORY
Date,Action,Ticker,Name,Price,Shares,Value,Weight %
2021-04-30,BUY,PAXG,PAXG,1796.02,371.777092,667719.09,100.0
2021-07-02,SELL,PAXG,PAXG,1810.0,,672916.54,
2021-07-09,BUY,PAXG,PAXG,1834.44,366.823955,672916.54,100.0
2021-07-16,SELL,PAXG,PAXG,1806.35,,662612.45,
2021-07-23,BUY,BTC,BTC,40011.0,16.560757,662612.45,100.0
2021-07-30,BUY,ETH,ETH,2724.91,80.525416,219424.51,33.33
2021-07-30,BUY,LINK,LINK,24.1828,9073.577539,219424.51,33.33
2021-08-06,BUY,XRP,XRP,1.0121,81421.120591,82409.57,11.11
2021-08-06,BUY,ADA,ADA,1.8,45783.121543,82409.57,11.11
2021-08-06,BUY,LTC,LTC,170.88,482.26576,82409.57,11.11
2021-08-06,BUY,DOT,DOT,21.4578,3840.541574,82409.57,11.11
2021-08-06,BUY,BCH,BCH,621.08,132.687533,82409.57,11.11
2021-08-06,BUY,UNI,UNI,29.099,2832.04141,82409.57,11.11
2021-08-13,BUY,DOGE,DOGE,0.3031,250745.02902,76013.36,10.0
2021-08-20,SELL,DOGE,DOGE,0.2924,,73308.02,
2021-09-03,SELL,UNI,UNI,23.136,,73217.99,
2021-09-17,SELL,BCH,BCH,548.28,,90592.72,
2021-09-24,SELL,ETH,ETH,2850.86,,98634.91,
2021-09-24,SELL,XRP,XRP,0.9275,,98496.47,
2021-09-24,SELL,LTC,LTC,144.76,,95486.65,
2021-09-24,SELL,LINK,LINK,22.8721,,99599.29,
2021-10-01,BUY,ETH,ETH,3575.26,28.543831,102051.62,12.5
2021-10-01,BUY,XRP,XRP,1.0768,94770.406485,102051.62,12.5
2021-10-01,BUY,LTC,LTC,178.71,571.045923,102051.62,12.5
2021-10-01,BUY,LINK,LINK,26.8159,3805.644004,102051.62,12.5
2021-10-01,BUY,BCH,BCH,617.12,165.367541,102051.62,12.5
2021-10-08,SELL,ADA,ADA,2.1868,,100922.85,
2021-10-08,SELL,BCH,BCH,593.75,,98186.98,
2021-10-15,BUY,BCH,BCH,644.5,181.026891,116671.83,12.5
2021-10-15,BUY,UNI,UNI,27.106,4304.280643,116671.83,12.5
2021-10-22,SELL,XRP,XRP,0.9943,,101348.12,
2021-10-22,SELL,BCH,BCH,548.85,,99356.61,
2021-10-22,SELL,UNI,UNI,24.166,,104017.25,
2021-10-29,BUY,XRP,XRP,1.2112,90743.847673,109907.13,11.11
2021-10-29,BUY,DOGE,DOGE,0.2691,408377.070038,109907.13,11.11
2021-10-29,BUY,BCH,BCH,611.26,179.80423,109907.13,11.11
2021-10-29,BUY,UNI,UNI,26.88,4088.807047,109907.13,11.11
2021-11-05,SELL,DOGE,DOGE,0.256,,104529.13,
2021-11-05,SELL,UNI,UNI,25.342,,103618.55,
2021-11-12,SELL,XRP,XRP,1.0966,,132936.06,
2021-11-26,SELL,LINK,LINK,25.3515,,142627.24,
2021-11-26,SELL,BCH,BCH,571.07,,132895.64,
2021-12-03,SELL,BTC,BTC,50515.1,,188636.65,
2021-12-03,SELL,ETH,ETH,4439.83,,206820.52,
2021-12-03,SELL,LTC,LTC,165.25,,168998.84,
2021-12-03,SELL,DOT,DOT,29.8385,,173467.91,
2021-12-03,BUY,PAXG,PAXG,1786.4,413.078771,737923.92,100.0
2021-12-10,SELL,PAXG,PAXG,1777.08,,734074.02,
2021-12-17,BUY,PAXG,PAXG,1804.12,406.887581,734074.02,100.0
2022-02-04,SELL,PAXG,PAXG,1840.46,,748860.32,
2022-02-04,BUY,BTC,BTC,44420.0,8.429315,374430.16,50.0
2022-02-04,BUY,XRP,XRP,0.8709,429914.986445,374430.16,50.0
2022-02-11,SELL,BTC,BTC,43873.1,,369820.17,
2022-02-11,SELL,XRP,XRP,0.8379,,360208.57,
2022-02-11,BUY,PAXG,PAXG,1881.27,388.051017,730028.74,100.0
2022-02-25,SELL,PAXG,PAXG,1925.39,,747149.55,
2022-02-25,BUY,BTC,BTC,43922.5,8.505317,373574.77,50.0
2022-02-25,BUY,XRP,XRP,0.7689,485843.486646,373574.77,50.0
2022-03-04,SELL,BTC,BTC,41965.3,,356928.17,
2022-03-04,SELL,XRP,XRP,0.7658,,372058.94,
2022-03-04,BUY,PAXG,PAXG,1996.28,365.172776,728987.11,100.0
2022-03-18,SELL,PAXG,PAXG,1947.0,,710991.4,
2022-03-18,BUY,BTC,BTC,42910.3,5.523083,236997.13,33.33
2022-03-18,BUY,ETH,ETH,3036.71,78.044045,236997.13,33.33
2022-03-18,BUY,XRP,XRP,0.8378,282883.6962,236997.13,33.33
2022-03-25,BUY,SOL,SOL,120.83,1270.923596,153565.7,20.0
2022-03-25,BUY,AVAX,AVAX,95.58,1606.671879,153565.7,20.0
2022-04-01,SELL,SOL,SOL,113.02,,143639.78,
2022-04-01,BUY,ADA,ADA,1.0534,110237.549869,116125.56,16.67
2022-04-01,BUY,DOGE,DOGE,0.1433,810220.329209,116125.56,16.67
2022-04-08,SELL,BTC,BTC,41150.0,,110667.74,
2022-04-08,SELL,ETH,ETH,3117.99,,114276.53,
2022-04-08,SELL,ADA,ADA,0.9747,,107445.23,
2022-04-08,SELL,XRP,XRP,0.7236,,110592.79,
2022-04-08,SELL,DOGE,DOGE,0.1399,,113322.52,
2022-04-08,SELL,AVAX,AVAX,80.08,,112297.24,
2022-04-08,BUY,PAXG,PAXG,1976.0,338.361363,668602.05,100.0
2022-04-29,SELL,PAXG,PAXG,1887.33,,638599.55,
2022-08-05,BUY,BTC,BTC,23958.8,2.665407,63859.96,10.0
2022-08-05,BUY,ETH,ETH,1853.82,34.447765,63859.96,10.0
2022-08-05,BUY,SOL,SOL,42.49,1502.940811,63859.96,10.0
2022-08-05,BUY,ADA,ADA,0.5377,118765.247948,63859.96,10.0
2022-08-05,BUY,XRP,XRP,0.3811,167580.6415,63859.96,10.0
2022-08-05,BUY,DOT,DOT,9.52,6707.978472,63859.96,10.0
2022-08-05,BUY,DOGE,DOGE,0.0712,896351.779108,63859.96,10.0
2022-08-05,BUY,AVAX,AVAX,29.19,2187.733986,63859.96,10.0
2022-08-05,BUY,LTC,LTC,61.63,1036.182948,63859.96,10.0
2022-08-05,BUY,TRX,TRX,0.0703,908301.521276,63859.96,10.0
2022-08-12,SELL,TRX,TRX,0.0681,,61878.95,
2022-08-19,SELL,BTC,BTC,21375.1,,63299.18,
2022-08-19,SELL,ETH,ETH,1656.64,,62457.67,
2022-08-19,SELL,SOL,SOL,34.89,,59534.13,
2022-08-19,SELL,ADA,ADA,0.4582,,58856.42,
2022-08-19,SELL,XRP,XRP,0.3455,,62941.2,
2022-08-19,SELL,DOT,DOT,7.5645,,62473.27,
2022-08-19,SELL,DOGE,DOGE,0.0678,,58515.86,
2022-08-19,SELL,AVAX,AVAX,22.99,,62255.6,
2022-08-19,SELL,LTC,LTC,56.41,,64488.15,
2022-09-23,BUY,BTC,BTC,19400.0,4.766508,92470.25,16.67
2022-09-23,BUY,SOL,SOL,33.25,2781.06006,92470.25,16.67
2022-09-23,BUY,XRP,XRP,0.4489,205992.976177,92470.25,16.67
2022-09-23,BUY,DOGE,DOGE,0.0606,1527118.745774,92470.25,16.67
2022-09-23,BUY,AVAX,AVAX,17.24,5363.703423,92470.25,16.67
2022-09-23,BUY,LTC,LTC,53.26,1736.204412,92470.25,16.67
2022-10-07,SELL,SOL,SOL,31.17,,88259.58,
2022-10-14,SELL,LTC,LTC,50.93,,106450.25,
2022-10-21,BUY,ETH,ETH,1566.32,41.988144,65766.87,11.11
2022-10-21,BUY,SOL,SOL,31.29,2101.849463,65766.87,11.11
2022-10-21,BUY,ADA,ADA,0.4035,162989.791122,65766.87,11.11
2022-10-21,BUY,DOT,DOT,6.4701,10164.737746,65766.87,11.11
2022-10-21,BUY,LTC,LTC,56.44,1165.252829,65766.87,11.11
2022-11-04,SELL,BTC,BTC,15863.7,,55750.57,
2022-11-04,SELL,ETH,ETH,1098.32,,51211.04,
2022-11-04,SELL,SOL,SOL,13.99,,32181.28,
2022-11-04,SELL,ADA,ADA,0.3162,,58060.81,
2022-11-04,SELL,XRP,XRP,0.3326,,52325.83,
2022-11-04,SELL,DOT,DOT,5.3947,,61133.97,
2022-11-04,SELL,DOGE,DOGE,0.0743,,41174.98,
2022-11-04,SELL,AVAX,AVAX,12.86,,50884.24,
2022-11-04,SELL,LTC,LTC,50.55,,58750.84,
2022-11-11,BUY,PAXG,PAXG,1767.99,261.015935,461473.56,100.0
2022-11-25,SELL,PAXG,PAXG,1762.46,,460030.14,
2022-11-25,BUY,BTC,BTC,17166.9,4.466251,76671.69,16.67
2022-11-25,BUY,ETH,ETH,1294.37,59.234756,76671.69,16.67
2022-11-25,BUY,XRP,XRP,0.4079,187985.315402,76671.69,16.67
2022-11-25,BUY,DOGE,DOGE,0.1067,718303.940137,76671.69,16.67
2022-11-25,BUY,AVAX,AVAX,13.18,5817.275473,76671.69,16.67
